TOTAIS - QUADRO RESUMO
Índice;Data de Referência;Número Índice;Variação Diária(%);Variação no Mês(%);Variação no Ano(%);Variação 12 Meses(%);Variação 24 Meses(%);Peso(%);Duration(d.u.);Carteira a Mercado (R$ mil);Número de<BR>Operações *;Quant. Negociada (1.000 títulos) *;Valor Negociado (R$ mil) *;PMR;Convexidade;Yield;Redemption Yield
IRF-M 1;20/05/2020;11.455,324161;0,0068;0,2571;2,1463;6,4872;13,9316;10,40;100;427.434.454;44;4.087,91;4.064.927,40;145;0,6046;2,6671;2,6161
IRF-M 1+;20/05/2020;15.726,482427;0,0079;0,4748;3,4506;13,8758;28,8224;20,71;732;850.617.544;113;4.935,98;4.939.506,47;1.098;13,0394;4,9973;5,6873
IRF-M;20/05/2020;13.939,769822;0,0075;0,4018;3,0028;11,6093;24,2400;31,11;521;1.278.051.998;157;9.023,89;9.004.433,87;779;8,8806;4,2180;5,4898
IMA-B 5;20/05/2020;6.524,999408;0,1830;1,1694;1,0799;9,5423;22,7206;12,40;562;509.338.925;274;1.528,52;5.581.432,30;820;8,6190;1,9969;1,9533
IMA-B 5+;20/05/2020;8.686,322521;0,5209;-0,2900;-9,0802;6,8403;34,3983;14,42;3.208;592.326.917;268;731,63;2.878.714,88;5.709;235,6433;4,2024;4,3057
IMA-B;20/05/2020;7.277,886301;0,3644;0,3716;-4,7258;8,4089;29,5570;26,82;1.985;1.101.665.842;542;2.260,15;8.460.147,19;3.449;130,6820;3,1828;3,9975
IMA-C;20/05/2020;7.735,595113;0,4118;0,0113;0,9385;11,9802;34,1237;2,91;1.317;119.411.718;--;--;--;2.029;47,0849;2,7382;3,4096
IMA-S;20/05/2020;4.736,630267;0,0114;0,1603;1,4211;5,0010;11,6851;39,17;1;1.608.923.917;136;95,94;1.017.758,68;1;0,0000;--;--
IMA-GERAL ex-C;20/05/2020;5.887,192680;0,1074;0,2944;0,1229;8,0765;20,7501;97,09;715;3.988.641.757;835;11.379,98;18.482.339,74;1.203;38,9400;--;--
IMA-GERAL;20/05/2020;5.946,633590;0,1162;0,2863;0,1457;8,1896;21,1213;100,00;733;4.108.053.476;835;11.379,98;18.482.339,74;1.227;39,1768;--;--
